ts,type,side,price_ticks,qty,id
1784862982430820442,add,sell,653489,1170064,9682
1784862982430820442,add,sell,653337,30591,9683
1784862982430883061,cancel,buy,653249,0,9679
1784862982430883061,add,buy,653249,1158511,9684
1784862982430924718,cancel,sell,653421,0,9273
1784862982430924718,add,sell,653421,765204,9685
1784862982458254026,cancel,sell,653329,0,9681
1784862982458254026,add,sell,653329,294,9686
1784862982458254026,add,sell,653298,90,9687
1784862982467357890,cancel,buy,653249,0,9684
1784862982467357890,add,buy,653249,775809,9688
1784862982467536883,add,buy,653193,382735,9689
1784862982481319835,cancel,sell,653298,0,9687
1784862982481319835,cancel,sell,653458,0,9672
1784862982481319835,add,sell,653458,849,9690
1784862982481319835,add,sell,653299,90,9691
1784862982507021106,cancel,buy,653249,0,9688
1784862982507021106,add,buy,653249,1075809,9692
1784862982509087318,cancel,buy,653249,0,9692
1784862982509087318,add,buy,653249,1375809,9693
1784862982605231931,cancel,buy,653224,0,9665
1784862982605231931,add,buy,653224,3643000,9694
1784862982605231931,cancel,buy,653249,0,9693
1784862982605231931,add,buy,653249,1406399,9695
1784862982627284313,cancel,sell,653433,0,9667
1784862982627284313,cancel,sell,653458,0,9690
1784862982627284313,add,sell,653458,849,9696
1784862982631915342,cancel,sell,653337,0,9683
1784862982631915342,cancel,sell,653460,0,9680
1784862982631915342,add,sell,653460,765526,9697
1784862982631915342,add,sell,653327,30591,9698
1784862982632059623,cancel,buy,653196,0,9599
1784862982632059623,cancel,buy,653125,0,9644
1784862982632059623,add,buy,653125,93920,9699
1784862982677512911,cancel,buy,653128,0,9228
1784862982677512911,cancel,buy,653124,0,9664
1784862982677512911,add,buy,653124,110000,9700
1784862982677512911,add,buy,653194,14000,9701
1784862982717334862,cancel,sell,653421,0,9685
1784862982717334862,cancel,sell,653460,0,9697
1784862982717334862,add,sell,653460,765526,9702
1784862982718701773,cancel,sell,653383,0,9140
1784862982718701773,add,sell,653383,1165249,9703
1784862982721052952,cancel,sell,653408,0,9382
1784862982721052952,add,sell,653408,765219,9704
1784862982905668560,add,buy,653134,25471,9705
1784862982931319413,cancel,buy,653236,0,9401
1784862982931319413,cancel,buy,653125,0,9699
1784862982931319413,add,buy,653125,93920,9706
1784862983025379492,cancel,sell,653383,0,9703
1784862983025379492,add,sell,653383,400000,9707
1784862983028225621,add,sell,653392,765238,9708
1784862983242601257,cancel,sell,653327,0,9698
1784862983242601257,cancel,sell,653458,0,9696
1784862983242601257,add,sell,653458,849,9709
1784862983242601257,cancel,sell,653299,0,9691
1784862983242601257,add,sell,653299,30681,9710
1784862983242794232,cancel,sell,653299,0,9710
1784862983242794232,add,sell,653299,30591,9711
1784862983242794232,add,sell,653298,90,9712
1784862983242863208,cancel,buy,653249,0,9695
1784862983242863208,add,buy,653249,1564409,9713
1784862983242906653,add,sell,653371,591510,9714
1784862983242944182,cancel,buy,653232,0,9590
1784862983242944182,cancel,buy,653124,0,9700
1784862983242944182,add,buy,653124,110000,9715
1784862983857308459,cancel,buy,653249,0,9713
1784862983857308459,add,buy,653249,2155918,9716
1784862983857452188,add,buy,653140,7655,9717
1784862983857478481,cancel,sell,653392,0,9708
1784862983857478481,cancel,sell,653457,0,9671
1784862983857478481,add,sell,653457,20739,9718
1784862983857503575,add,sell,653430,765194,9719
